geometry;ID;code_dpt;nom_dpt;nom_reg;num_circ;code_reg
"{""type"":""Polygon"",""coordinates"":[[[9.502364,39.504224],[9.596689,39.470683],[9.703524,39.389069],[9.76773,39.438265],[9.803697,39.385964],[9.871554,39.466791],[9.813258,39.603002],[9.699852,39.652422],[9.552795,39.749005],[9.444844,39.868675],[9.323375,39.93269],[9.193824,40.030949],[9.117407,40.056806],[9.08325,40.102038],[8.987615,40.153197],[8.900567,40.173941],[8.889273,40.219513],[8.74159,40.320115],[8.746121,40.399859],[8.678946,40.413815],[8.626157,40.52082],[8.50597,40.544423],[8.348792,40.635607],[8.267171,40.729867],[8.168731,40.783732],[8.103961,40.853345],[7.973451,40.900741],[7.882323,40.892346],[7.847697,40.939739],[7.781976,40.864736],[7.856962,40.852703],[7.885164,40.802857],[7.882561,40.721043],[7.967863,40.65386],[8.058057,40.493353],[8.11223,40.454135],[8.226628,40.408616],[8.21494,40.373668],[8.262202,40.317944],[8.33589,40.316162],[8.338848,40.23395],[8.393323,40.16776],[8.48808,40.121119],[8.573379,40.027003],[8.65692,39.961136],[8.756047,39.928572],[8.827766,39.873574],[8.919153,39.862789],[9.01722,39.809539],[9.120733,39.714796],[9.18691,39.732227],[9.251746,39.675903],[9.2693,39.60355],[9.344333,39.543553],[9.475929,39.506557],[9.502364,39.504224]]]}";ZN002;ZN;NOUVELLE-CALEDONIE;-;2;-
"{""type"":""MultiPolygon"",""coordinates"":[[[[-6.331654,48.939776],[-6.260037,48.916263],[-6.208071,48.839489],[-6.006653,48.957228],[-5.996945,49.010973],[-6.059818,49.06019],[-6.158471,49.084848],[-6.171158,49.123314],[-6.127708,49.22643],[-6.060228,49.268343],[-6.026977,49.387014],[-6.181944,49.451554],[-6.275663,49.474916],[-6.298217,49.376951],[-6.286424,49.311658],[-6.238575,49.280196],[-6.177619,49.139125],[-6.180769,49.064534],[-6.234132,48.995939],[-6.331654,48.939776]]],[[[-6.003911,48.801025],[-5.903071,48.785314],[-5.828544,48.864631],[-5.904436,48.890988],[-6.003911,48.801025]]]]}";ZS001;ZS;SAINT-PIERRE-ET-MIQUELON;-;1;-
"{""type"":""MultiPolygon"",""coordinates"":[[[[-7.196898,48.385158],[-7.097506,48.388614],[-7.028446,48.364744],[-6.964275,48.456611],[-6.986692,48.57064],[-7.086491,48.497951],[-7.128385,48.495213],[-7.196898,48.385158]]],[[[-6.530789,47.960673],[-6.478884,47.922644],[-6.418914,47.832029],[-6.294873,47.890137],[-6.335051,47.946327],[-6.428253,47.910854],[-6.530789,47.960673]]]]}";ZX001;ZX;SAINT-MARTIN/SAINT-BARTHELEMY;-;1;-
"{""type"":""Polygon"",""coordinates"":[[[-6.012819,48.296423],[-5.889338,48.168781],[-5.800339,48.357154],[-5.887358,48.468599],[-6.012819,48.296423]]]}";ZW001;ZW;WALLIS-ET-FUTUNA;-;1;-
"{""type"":""MultiPolygon"",""coordinates"":[[[[-1.04072,40.176217],[-1.026299,40.149307],[-0.885536,40.143277],[-0.918323,40.222633],[-1.04072,40.176217]]],[[[-0.577397,40.323003],[-0.516133,40.271656],[-0.487266,40.328998],[-0.577397,40.323003]]],[[[-1.034108,40.308678],[-0.943745,40.23756],[-0.904211,40.298155],[-0.983924,40.339655],[-1.034108,40.308678]]],[[[-2.718499,40.476607],[-2.704097,40.465363],[-2.705598,40.482109],[-2.718499,40.476607]]],[[[-1.561182,40.393547],[-1.511211,40.321426],[-1.444693,40.351905],[-1.460881,40.418827],[-1.504601,40.440585],[-1.561182,40.393547]]],[[[-1.341282,40.381751],[-1.28532,40.308084],[-1.207996,40.344772],[-1.240941,40.391721],[-1.202906,40.437509],[-1.25824,40.480076],[-1.341282,40.381751]]],[[[-1.606873,40.475243],[-1.516983,40.46167],[-1.531428,40.541029],[-1.582419,40.540667],[-1.606873,40.475243]]],[[[-2.609413,40.919078],[-2.496163,40.844555],[-2.370615,40.812923],[-2.301032,40.828574],[-2.30067,40.765678],[-2.192676,40.668947],[-2.142251,40.698185],[-2.027692,40.574621],[-1.853446,40.504167],[-1.771628,40.599789],[-1.640899,40.498837],[-1.556997,40.624538],[-1.603611,40.69262],[-1.686642,40.711361],[-1.81176,40.682255],[-1.882916,40.703285],[-1.862109,40.788399],[-1.954069,40.793812],[-2.011846,40.845216],[-2.270852,40.897193],[-2.376343,40.932711],[-2.58333,40.954201],[-2.609413,40.919078]]],[[[-1.401581,41.047226],[-1.350144,41.002077],[-1.302551,41.059818],[-1.361093,41.082315],[-1.401581,41.047226]]],[[[-1.583501,40.705653],[-1.515112,40.666954],[-1.451678,40.759729],[-1.509582,40.801835],[-1.583501,40.705653]]],[[[-2.036376,40.949679],[-1.994702,40.91336],[-1.913673,40.970771],[-1.944168,41.033473],[-2.013068,40.996159],[-2.036376,40.949679]]],[[[-2.225566,40.973109],[-2.194838,40.937565],[-2.068342,40.985545],[-2.097637,41.043235],[-2.185806,41.024872],[-2.225566,40.973109]]],[[[-0.354069,39.542602],[-0.28751,39.497859],[-0.207902,39.476572],[-0.174395,39.511332],[-0.306325,39.601875],[-0.354069,39.542602]]],[[[-1.004491,39.757],[-0.941892,39.662632],[-0.880135,39.6903],[-0.913205,39.798027],[-0.966602,39.801996],[-1.004491,39.757]]],[[[-0.441002,39.82392],[-0.390734,39.775085],[-0.341974,39.825757],[-0.379308,39.857183],[-0.441002,39.82392]]],[[[-0.625808,39.854183],[-0.522653,39.787861],[-0.503647,39.851204],[-0.583469,39.88756],[-0.625808,39.854183]]],[[[-1.754481,39.99622],[-1.693801,39.937176],[-1.627277,39.918185],[-1.605368,39.972097],[-1.678451,40.002336],[-1.754481,39.99622]]]]}";ZP001;ZP;POLYNESIE-FRANCAISE;-;1;-
"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.746133,39.510615],[-2.714644,39.472478],[-2.657572,39.491681],[-2.696676,39.550627],[-2.746133,39.510615]]],[[[-2.720983,40.456842],[-2.672627,40.447285],[-2.678619,40.476767],[-2.705598,40.482109],[-2.704097,40.465363],[-2.720983,40.456842]]]]}";ZP002;ZP;POLYNESIE-FRANCAISE;-;2;-
"{""type"":""MultiPolygon"",""coordinates"":[[[[-2.718499,40.476607],[-2.720983,40.456842],[-2.704097,40.465363],[-2.718499,40.476607]]],[[[-3.035695,40.601124],[-3.027748,40.580766],[-3.012943,40.589575],[-3.035695,40.601124]]]]}";ZP003;ZP;POLYNESIE-FRANCAISE;-;3;-
"{""type"":""Polygon"",""coordinates"":[[[-0.454946,44.953424],[-0.474471,44.994426],[-0.595231,45.024341],[-0.542693,44.984414],[-0.547736,44.916667],[-0.54141,44.869139],[-0.546659,44.836292],[-0.526565,44.806147],[-0.360685,44.852077],[-0.331502,44.870078],[-0.40932,44.947605],[-0.454946,44.953424]]]}";33004;33;GIRONDE;AQUITAINE-LIMOUSIN-POITOU-CHARENTES;4;75
"{""type"":""Polygon"",""coordinates"":[[[5.805288,45.206202],[5.889757,45.257461],[5.787891,45.287583],[5.714042,45.20175],[5.742797,45.165725],[5.805288,45.206202]]]}";38001;38;ISERE;AUVERGNE-RHONE-ALPES;1;84
"{""type"":""Polygon"",""coordinates"":[[[3.058745,50.780708],[3.065825,50.719403],[3.188169,50.740221],[3.147109,50.789904],[3.058745,50.780708]]]}";59010;59;NORD;NORD-PAS-DE-CALAIS-PICARDIE;10;32
